scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,-0.012507772639379404,-0.006225565002289041,0.0,-0.0030241974771269852,-0.17327375185348756,0.0,True,1.0,0.0,0.0,True
1,cloud000001.pcd,0.02918595311880586,-0.016074386347093766,0.0,0.0030368383073896992,0.17399801807708232,0.0,True,1.0,0.0,0.0,True
2,cloud000002.pcd,0.006003927275392923,-0.00034812218743089304,0.0,0.0002842642191522739,0.016287140024007198,0.479354317267934,True,1.0,0.0,0.0,True
3,cloud000003.pcd,0.056434468111928184,0.028381435433542046,0.0,-0.011624956012178696,-0.6660609165230713,0.3241541663154066,True,1.0,0.0,0.0,True
4,cloud000004.pcd,0.14150112198752338,0.02526798495801605,0.0,-0.008043679112906921,-0.4608688649271006,0.32743836600605386,True,1.0,0.0,0.0,True
5,cloud000005.pcd,0.22733618468777952,0.011119863712837873,0.0,-0.010856953439786935,-0.6220576104698329,0.3222710807982624,True,1.0,0.0,0.0,True
6,cloud000006.pcd,0.3352881610850066,-0.013079345805056018,0.0,-0.030735116815652747,-1.7609924763784686,0.323344987107045,True,1.0,0.0,0.0,True
7,cloud000007.pcd,0.4422834275097287,-0.03208818146880628,0.0,-0.046048288750122034,-2.638372599181741,0.3256300305065074,True,1.0,0.0,0.0,True
8,cloud000008.pcd,0.5888759017332486,-0.06300250237851467,0.0,-0.0443969838733277,-2.5437597990520557,0.3121343330896961,True,1.0,0.0,0.0,True
9,cloud000009.pcd,0.6859604847075471,-0.06686947197741024,0.0,-0.04533662924282483,-2.597597512963252,0.3222497967807408,True,1.0,0.0,0.0,True
10,cloud000010.pcd,0.7832763116862427,-0.06477544495152081,0.0,-0.0535399734227265,-3.067614512364825,0.3261981958254639,True,1.0,0.0,0.0,True
11,cloud000011.pcd,0.8378568496699075,-0.07177069772911437,0.0,-0.054973852763819164,-3.149769746940434,0.32164081041371473,True,1.0,0.0,0.0,True
12,cloud000012.pcd,0.967982376731901,-0.09075600940365017,0.0,-0.05460641217326732,-3.1287169518800186,0.31698511304237603,True,1.0,0.0,0.0,True
13,cloud000013.pcd,1.0805904082795037,-0.09329291261841907,0.0,-0.06627113148679131,-3.7970561377496828,0.3166896251988879,True,1.0,0.0,0.0,True
14,cloud000014.pcd,1.1896255066354409,-0.09039829339622457,0.0,-0.06764321488916915,-3.875670725845883,0.31686092725730614,True,1.0,0.0,0.0,True
15,cloud000015.pcd,1.2755369855636731,-0.11580675229104688,0.0,-0.07071891669572225,-4.0518954584021385,0.32224248063311717,True,1.0,0.0,0.0,True
16,cloud000016.pcd,1.4179142692949815,-0.10269003559054887,0.0,-0.07743660614364388,-4.436790711847616,0.31545944057441827,True,1.0,0.0,0.0,True
