scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,-0.01594626221670936,-0.006171416399033697,0.0,-0.002141367829596332,-0.12269133902095908,0.0,True,1.0,0.0,0.0,True
1,cloud000001.pcd,-0.0006315921473151187,-0.005780131843923054,0.0,-0.0006142362914190021,-0.035193147122076524,0.0,True,1.0,0.0,0.0,True
2,cloud000002.pcd,0.014905198797461851,-0.008720882657329516,0.0,-0.003571887457508211,-0.20465407621093468,0.47171781286093273,True,1.0,0.0,0.0,True
3,cloud000003.pcd,0.0009519738916509164,-0.0013822713309311185,0.0,-0.006213219578245582,-0.35599125902152523,0.32414051554747153,True,1.0,0.0,0.0,True
4,cloud000004.pcd,0.10715771675142358,-0.000651473075007698,0.0,-0.0038898938560805512,-0.22287450070728484,0.317564344330547,True,1.0,0.0,0.0,True
5,cloud000005.pcd,0.22834977345571317,-0.008283642406143524,0.0,4.741573274415339e-05,0.0027167213687602507,0.32132247850615975,True,1.0,0.0,0.0,True
6,cloud000006.pcd,0.3802920507395173,0.0025278670381844483,0.0,-0.007094629888560108,-0.4064923498218638,0.3222187304534621,True,1.0,0.0,0.0,True
7,cloud000007.pcd,0.5138066806254042,0.015798723271666353,0.0,-0.006428595533825995,-0.36833139228488,0.3211151250774826,True,1.0,0.0,0.0,True
8,cloud000008.pcd,0.6718318823976054,0.002305019025008277,0.0,-0.0020117078586466912,-0.1152623699137558,0.3201387283866813,True,1.0,0.0,0.0,True
9,cloud000009.pcd,0.8009387844809694,0.009950176052156789,0.0,-0.004418227169874894,-0.25314576976386166,0.32324243085591986,True,1.0,0.0,0.0,True
10,cloud000010.pcd,0.9384692215651081,0.024383255801926226,0.0,0.0056620248393940585,0.32441012679551734,0.32194993373199204,True,1.0,0.0,0.0,True
11,cloud000011.pcd,1.0786988962353925,0.00970172226676997,0.0,0.010718682413286086,0.6141352642223927,0.32006879104918023,True,1.0,0.0,0.0,True
12,cloud000012.pcd,1.2126778275391443,0.03027626028999759,0.0,0.01054929116260361,0.6044298604718443,0.32021274749951917,True,1.0,0.0,0.0,True
13,cloud000013.pcd,1.3620093160188722,0.029389858985037418,0.0,0.011290108059016285,0.6468755420282709,0.31585824650078625,True,1.0,0.0,0.0,True
14,cloud000014.pcd,1.5194698272837326,0.041895628373134035,0.0,0.006680439009699216,0.38276096055032033,0.3219507291868294,True,1.0,0.0,0.0,True
15,cloud000015.pcd,1.6557105516638588,0.03610244083112452,0.0,0.0047596808570127165,0.27270962493603934,0.32090709217609886,True,1.0,0.0,0.0,True
16,cloud000016.pcd,1.794414237074367,0.027049303934358844,0.0,0.00842846567644274,0.48291551103104546,0.3242342941528211,True,1.0,0.0,0.0,True
17,cloud000017.pcd,1.9321865735401749,0.03772638367492307,0.0,0.01012001345742565,0.5798340597260859,0.3272394098160847,True,1.0,0.0,0.0,True
18,cloud000018.pcd,2.0595418022364242,0.04102595481357415,0.0,0.011560250075757741,0.6623535394567087,0.3250849376714639,True,1.0,0.0,0.0,True
19,cloud000019.pcd,2.2164112032670493,0.03796657516551231,0.0,0.013025873604778528,0.7463275820246693,0.31231243212119447,True,1.0,0.0,0.0,True
20,cloud000020.pcd,2.3785819830097186,0.05066815616975875,0.0,0.014141420605082002,0.8102437169905375,0.31450675134493594,True,1.0,0.0,0.0,True
21,cloud000021.pcd,2.5116194999710966,0.06379486326838754,0.0,0.009145741873885371,0.5240124098897005,0.3217896835387557,True,1.0,0.0,0.0,True
22,cloud000022.pcd,2.6606941740515566,0.06949959769496196,0.0,0.011019149289644398,0.6313507481212031,0.32360228669668806,True,1.0,0.0,0.0,True
23,cloud000023.pcd,2.7977911085482043,0.07673303448758839,0.0,0.015766558402292723,0.9033572538978993,0.3162506877444616,True,1.0,0.0,0.0,True
