scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,0.027317234007433622,0.03778374102815325,0.0,0.06659681439785911,3.815716394013402,0.0,True,1.0,0.0,0.0,True
1,cloud000001.pcd,-0.02044162996209559,0.033092366755687525,0.0,0.002382506145872847,0.1365075468224942,0.0,True,1.0,0.0,0.0,True
2,cloud000002.pcd,-0.02769309056105706,0.017071149902187607,0.0,-0.02143767106186607,-1.2282880744346638,0.46728476424134757,True,1.0,0.0,0.0,True
3,cloud000003.pcd,-0.05182428354753786,0.011927600636928597,0.0,-0.0047455101852682,-0.27189770525221324,0.31487916754296336,True,1.0,0.0,0.0,True
4,cloud000004.pcd,-0.2327896817168364,-0.020930319135881947,0.0,-0.272055701358827,-15.587643480332323,0.31943417695730264,True,1.0,0.0,0.0,True
5,cloud000005.pcd,-0.2225059516785501,0.06993016118893358,0.0,-0.1781234291249407,-10.205720721256748,0.3083261277048089,True,1.0,0.0,0.0,True
6,cloud000006.pcd,-0.2947127800521471,0.12050746581598824,0.0,-0.15254516491077294,-8.740194134514429,0.30582052198647197,True,1.0,0.0,0.0,True
7,cloud000007.pcd,-0.3791866798638052,0.14691474447426642,0.0,-0.16608724484539147,-9.516098160596869,0.3154971180314478,True,1.0,0.0,0.0,True
8,cloud000008.pcd,-0.4351169864848038,0.17190562850547075,0.0,-0.15953796746855117,-9.140852208043409,0.3150154498610435,True,1.0,0.0,0.0,True
9,cloud000009.pcd,-0.5051791556350288,0.18707283486561752,0.0,-0.043372910658320114,-2.4850847259197275,0.3224430093185558,True,1.0,0.0,0.0,True
10,cloud000010.pcd,-0.5839756378969904,0.2290423875686822,0.0,-0.015667173153603126,-0.8976628986021273,0.3003552917970735,True,1.0,0.0,0.0,True
11,cloud000011.pcd,-0.7974370823502737,0.3869527856482547,0.0,-0.06949394172174776,-3.9817095623842524,0.31065337816871397,True,1.0,0.0,0.0,True
12,cloud000012.pcd,-0.8774831714347809,0.45358054194120845,0.0,-0.023161955666818734,-1.3270823049778337,0.3056368490982592,True,1.0,0.0,0.0,True
13,cloud000013.pcd,-0.9232280241727667,0.5486089068615594,0.0,0.04789899846040524,2.7444104546848482,0.29354583156387165,True,1.0,0.0,0.0,True
14,cloud000014.pcd,-1.0261972502886818,0.5806697205854102,0.0,0.08417971645035449,4.8231424732132995,0.3034766739547704,True,1.0,0.0,0.0,True
15,cloud000015.pcd,-1.2011027342692975,0.6321749484662142,0.0,0.012490014380017407,0.715625110032705,0.3180495735278539,True,1.0,0.0,0.0,True
16,cloud000016.pcd,-1.1891233471335765,0.5838164108404034,0.0,-0.04872223912888305,-2.7915786705121555,0.3110219059949475,True,1.0,0.0,0.0,True
17,cloud000017.pcd,-1.293244319517721,0.6226441472369743,0.0,-0.050967511690407585,-2.9202233121440386,0.2612618906997135,True,1.0,0.0,0.0,True
18,cloud000018.pcd,-1.4163020601764638,0.7025380498650209,0.0,-0.019627760836732584,-1.1245878572369423,0.24552556644939605,True,1.0,0.0,0.0,True
19,cloud000019.pcd,-1.4943510361318413,0.7854761801734246,0.0,0.08450213592753043,4.841615748488296,0.2870124734684068,True,1.0,0.0,0.0,True
20,cloud000020.pcd,-1.5996500573438586,0.8883751608215118,0.0,0.17459479544819811,10.003544904131669,0.3123985549347585,True,1.0,0.0,0.0,True
21,cloud000021.pcd,-1.7278064361886611,0.9217605775954979,0.0,0.17832546299555024,10.217296409361367,0.31478005865020503,True,1.0,0.0,0.0,True
22,cloud000022.pcd,-1.8677058594779758,0.9838886359099976,0.0,0.16094565643958275,9.221506844950632,0.30953736403264825,True,1.0,0.0,0.0,True
23,cloud000023.pcd,-1.9805998528871507,1.0222759023187324,0.0,0.164212452684357,9.408680482305382,0.27466307247565797,True,1.0,0.0,0.0,True
24,cloud000024.pcd,-2.1007299814033447,1.089954348290149,0.0,0.14740702309063783,8.44580029368102,0.2879155564483074,True,1.0,0.0,0.0,True
25,cloud000025.pcd,-2.237748785208589,1.1699093787805575,0.0,0.19054764415855877,10.917575806446052,0.29637058969274016,True,1.0,0.0,0.0,True
26,cloud000026.pcd,-2.3756835776236103,1.2611049915959467,0.0,0.2742609235247423,15.713993403327967,0.30541786554749845,True,1.0,0.0,0.0,True
27,cloud000027.pcd,-2.47882640585838,1.3139553017331402,0.0,0.424101775453103,24.29924181746774,0.3071793103621021,True,1.0,0.0,0.0,True
28,cloud000028.pcd,-2.595347878345346,1.3617276285559219,0.0,0.5590486054054852,32.031125632408845,0.3139607129576089,True,1.0,0.0,0.0,True
29,cloud000029.pcd,-2.709688604809522,1.387087419280259,0.0,0.6741253089787236,38.62453506743344,0.3134906367519652,True,1.0,0.0,0.0,True
30,cloud000030.pcd,-2.8362227669889037,1.401269024689869,0.0,0.7543909662914351,43.22341847129518,0.2687274842822674,True,1.0,0.0,0.0,True
31,cloud000031.pcd,-2.9958034816038577,1.4255995548720577,0.0,0.8419002569354795,48.23733149338259,0.29539324023652874,True,1.0,0.0,0.0,True
32,cloud000032.pcd,-3.14498222127882,1.4506966130381562,0.0,0.9474240825563173,54.28340133953106,0.29602457415220274,True,1.0,0.0,0.0,True
33,cloud000033.pcd,-3.2585878027830075,1.4341355254256072,0.0,1.0392253326286254,59.54322552269936,0.30824474341711655,True,1.0,0.0,0.0,True
34,cloud000034.pcd,-3.3543904248549796,1.3855753070755514,0.0,1.1379046980763121,65.19713668788089,0.3177367228538371,True,1.0,0.0,0.0,True
35,cloud000035.pcd,-3.444504395339194,1.4129946212138018,0.0,1.288614252538781,73.83215809087737,0.303428057609864,True,1.0,0.0,0.0,True
36,cloud000036.pcd,-3.5204213102300455,1.4880708195389636,0.0,1.3784326183408442,78.97837137409776,0.3044045322987711,True,1.0,0.0,0.0,True
37,cloud000037.pcd,-3.5658942887182734,1.5398067212648245,0.0,1.3822536877405989,79.19730252393029,0.31304393210967124,True,1.0,0.0,0.0,True
38,cloud000038.pcd,-3.5762390571836966,1.5335997207693268,0.0,1.3855161468174038,79.38422765986536,0.30475959746303616,True,1.0,0.0,0.0,True
39,cloud000039.pcd,-3.570197531090092,1.5350853057950808,0.0,1.3851126877161997,79.36111115616022,0.3142535538149542,True,1.0,0.0,0.0,True
40,cloud000040.pcd,-3.5800207030006144,1.5486564809273555,0.0,1.3866459317339392,79.44895956734038,0.32312707026833704,True,1.0,0.0,0.0,True
41,cloud000041.pcd,-3.5889896640481216,1.542995035499308,0.0,1.3868171015701738,79.45876687653657,0.317669214723555,True,1.0,0.0,0.0,True
42,cloud000042.pcd,-3.579438688469688,1.5558304663334812,0.0,1.3870349327189095,79.47124768200561,0.31494233917454034,True,1.0,0.0,0.0,True
43,cloud000043.pcd,-3.560122769555287,1.5417005331782596,0.0,1.3826454030619386,79.21974615861367,0.327689411286524,True,1.0,0.0,0.0,True
44,cloud000044.pcd,-3.5640567366723945,1.5447151271273185,0.0,1.3878677643943205,79.51896542205147,0.3210559951613043,True,1.0,0.0,0.0,True
45,cloud000045.pcd,-3.5715206343371984,1.5365964404474683,0.0,1.3925948569215405,79.78980787322901,0.3286859002785549,True,1.0,0.0,0.0,True
46,cloud000046.pcd,-3.5816402034059616,1.5375665527126932,0.0,1.3912044983023188,79.71014619233797,0.32646189630966627,True,1.0,0.0,0.0,True
47,cloud000047.pcd,-3.5639401281882046,1.5392004596666555,0.0,1.392856218517154,79.80478278958446,0.32686195946827573,True,1.0,0.0,0.0,True
48,cloud000048.pcd,-3.5735827974174375,1.539227867379936,0.0,1.3930975523800535,79.8186102013822,0.3194302630793168,True,1.0,0.0,0.0,True
49,cloud000049.pcd,-3.5721832328512355,1.5345093848186029,0.0,1.3957703046026877,79.97174762342334,0.3279689939283479,True,1.0,0.0,0.0,True
50,cloud000050.pcd,-3.579923635614315,1.5374791826870127,0.0,1.3979414196591957,80.09614335299857,0.3238572100594192,True,1.0,0.0,0.0,True
51,cloud000051.pcd,-3.618679588731047,1.536200569017576,0.0,1.4016877347898338,80.31079139871012,0.326726530055215,True,1.0,0.0,0.0,True
52,cloud000052.pcd,-3.6163552423557923,1.5405396147071075,0.0,1.3955471582268284,79.95896227787297,0.32830781881708876,True,1.0,0.0,0.0,True
53,cloud000053.pcd,-3.6318678721446735,1.555594082696692,0.0,1.3938885005398631,79.86392819275292,0.329062423485864,True,1.0,0.0,0.0,True
54,cloud000054.pcd,-3.6256928804528847,1.5605434307247883,0.0,1.3936773302120316,79.85182902420979,0.32913250102885433,True,1.0,0.0,0.0,True
55,cloud000055.pcd,-3.6398904641186203,1.549601629903613,0.0,1.39399229219172,79.86987501635302,0.3311356872993103,True,1.0,0.0,0.0,True
56,cloud000056.pcd,-3.6354574671331643,1.5415592457999718,0.0,1.3921759657249977,79.76580717559192,0.3281180416190857,True,1.0,0.0,0.0,True
57,cloud000057.pcd,-3.6233277714549095,1.5384877961409646,0.0,1.3955504144534467,79.95914884591534,0.32607886431744265,True,1.0,0.0,0.0,True
58,cloud000058.pcd,-3.62507411308549,1.5431163666066792,0.0,1.3953475917613147,79.9475279616667,0.32818748026283917,True,1.0,0.0,0.0,True
