scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,0.05044683240314349,0.028537680075758486,0.0,0.09342585553960774,5.352907219818445,0.0,True,0.0,0.0,1.0,True
1,cloud000001.pcd,0.0169086721944815,0.02967208204070462,0.0,0.0504688779925482,2.8916537057336944,0.0,True,0.0,0.0,1.0,True
2,cloud000002.pcd,0.04567265105784088,0.04088488361772151,0.0,0.014323425629821898,0.8206718367583078,0.2,True,0.0,0.0,1.0,True
3,cloud000003.pcd,0.01548907129147864,0.03234092049738853,0.0,0.005572300252584431,0.3192692866527705,0.13333333333333333,True,0.0,0.0,1.0,True
4,cloud000004.pcd,-0.3065939524783256,0.05230238061013802,0.0,-0.1400796677698082,-8.025973758804755,0.13333333333333333,True,0.0,0.0,1.0,True
5,cloud000005.pcd,-0.37056701628137884,0.04269093639306377,0.0,-0.1389864908923311,-7.963339337464026,0.13333333333333333,True,0.0,0.0,1.0,True
6,cloud000006.pcd,-0.4450231624076726,0.0902434459023294,0.0,-0.11396006081208118,-6.529430517586457,0.13333333333333333,True,0.0,0.0,1.0,True
7,cloud000007.pcd,-0.5286696914936526,0.11344283450541573,0.0,-0.1284632070315102,-7.360399585620856,0.13333333333333333,True,0.0,0.0,1.0,True
8,cloud000008.pcd,-0.5839569104237199,0.1363609787824987,0.0,-0.1223415498866048,-7.0096544675916705,0.13333333333333333,True,0.0,0.0,1.0,True
9,cloud000009.pcd,-0.6575112075624178,0.14823613998625573,0.0,-0.0051978338537893125,-0.29781394243234743,0.13333333333333333,True,0.0,0.0,1.0,True
10,cloud000010.pcd,-0.7342919962823665,0.18747814125042733,0.0,0.022923959839430495,1.3134461485267637,0.13333333333333333,True,0.0,0.0,1.0,True
11,cloud000011.pcd,-0.9465975776381386,0.2793465656804075,0.0,-0.0022243954242068074,-0.12744846977526245,0.13333333333333333,True,0.0,0.0,1.0,True
12,cloud000012.pcd,-1.0403953249542137,0.3188449496926079,0.0,0.08925668302722271,5.114031230796829,0.13333333333333333,True,0.0,0.0,1.0,True
13,cloud000013.pcd,-1.1118498935393246,0.4003190823070023,0.0,0.1590703762019491,9.114061201929934,0.13333333333333333,True,0.0,0.0,1.0,True
14,cloud000014.pcd,-1.2340148758850276,0.43091257398028976,0.0,0.1615739594110627,9.257505953471961,0.13333333333333333,True,0.0,0.0,1.0,True
15,cloud000015.pcd,-1.4017725089750956,0.47036415849673063,0.0,0.07070085579189621,4.050860644838714,0.13333333333333333,True,0.0,0.0,1.0,True
16,cloud000016.pcd,-1.388232377408003,0.42211431312483394,0.0,0.014852128941434454,0.8509643051282972,0.13333333333333333,True,0.0,0.0,1.0,True
17,cloud000017.pcd,-1.4958520168754497,0.45279253524384816,0.0,0.01151926557893256,0.6600053007631586,0.13333333333333333,True,0.0,0.0,1.0,True
18,cloud000018.pcd,-1.6258505097141551,0.5228162330103564,0.0,0.04314140166020167,2.4718202374082385,0.13333333333333333,True,0.0,0.0,1.0,True
19,cloud000019.pcd,-1.7084843020753329,0.6004122128289824,0.0,0.14997409389974334,8.592882616753998,0.13333333333333333,True,0.0,0.0,1.0,True
20,cloud000020.pcd,-1.8081957282445273,0.7012575618670704,0.0,0.2426307759523133,13.901719442051819,0.13333333333333333,True,0.0,0.0,1.0,True
21,cloud000021.pcd,-1.9381554020324148,0.7253198373362513,0.0,0.24639015913849036,14.11711623219221,0.13333333333333333,True,0.0,0.0,1.0,True
22,cloud000022.pcd,-2.0807097258187928,0.7777515470253799,0.0,0.22786217254554825,13.055540797541653,0.13333333333333333,True,0.0,0.0,1.0,True
