scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,0.0015639210644320413,0.01693130298758886,0.0,0.0013784777627647861,0.07898095795905818,0.0,True,1.0,0.0,0.0,True
1,cloud000001.pcd,0.004216163431249916,0.015718281365900817,0.0,-0.004159409124684371,-0.23831658811261844,0.0,True,1.0,0.0,0.0,True
2,cloud000002.pcd,0.012332038170704699,0.0019117812431239615,0.0,-0.008895555668835153,-0.5096777962479285,0.48499927591697956,True,1.0,0.0,0.0,True
3,cloud000003.pcd,0.02477722460638358,-0.0246825864113204,0.0,-0.013436364243997226,-0.7698469631815281,0.3247128695115457,True,1.0,0.0,0.0,True
4,cloud000004.pcd,0.03441275765164727,-0.041641117494694,0.0,-0.015057854083284907,-0.8627514874960585,0.3296484926840189,True,1.0,0.0,0.0,True
5,cloud000005.pcd,0.027075300750525277,-0.017895740940789415,0.0,-0.01713994514350786,-0.9820465178087524,0.32944269349148764,True,1.0,0.0,0.0,True
6,cloud000006.pcd,0.03362062989509556,-0.02437496678536643,0.0,-0.014079469434553092,-0.8066941763833358,0.32681101872276397,True,1.0,0.0,0.0,True
7,cloud000007.pcd,0.02512754828093327,-0.0029172540858866773,0.0,-0.005833977281517162,-0.3342622760061387,0.3264920063963223,True,1.0,0.0,0.0,True
8,cloud000008.pcd,0.01475515275953303,0.010622679635948741,0.0,-0.008981258539178685,-0.5145882090107697,0.3285103677637729,True,1.0,0.0,0.0,True
9,cloud000009.pcd,0.010068975732949362,-0.0020016773872627153,0.0,-0.012265097095934391,-0.7027382989152032,0.3292082828639436,True,1.0,0.0,0.0,True
10,cloud000010.pcd,0.01668508825991773,0.008768257543309756,0.0,-0.01391985906349553,-0.7975491757552204,0.3288571765085339,True,1.0,0.0,0.0,True
11,cloud000011.pcd,0.00895221112138388,0.01955344104961179,0.0,-0.015831834353377303,-0.9070972903987482,0.3270977452056993,True,1.0,0.0,0.0,True
12,cloud000012.pcd,0.0181312353511405,-0.008435264136430688,0.0,-0.02309479633651806,-1.3232343587966802,0.3285086440025826,True,1.0,0.0,0.0,True
13,cloud000013.pcd,0.043845418864756416,-0.01595590009100171,0.0,-0.02018129774150953,-1.1563031856853965,0.32899073125821404,True,1.0,0.0,0.0,True
14,cloud000014.pcd,0.03400421840010964,-0.019226966986163736,0.0,-0.019958759739691405,-1.143552697399943,0.3300511410485883,True,1.0,0.0,0.0,True
15,cloud000015.pcd,0.03319705047460941,-0.012505048844678134,0.0,-0.016719557357136185,-0.9579600718908082,0.3291789025252239,True,1.0,0.0,0.0,True
16,cloud000016.pcd,0.0326093475510907,0.0003346998421923635,0.0,-0.015656193110199935,-0.897033788456254,0.329952655490726,True,1.0,0.0,0.0,True
17,cloud000017.pcd,0.0423522095697006,-0.005773813511696247,0.0,-0.016585194713115124,-0.9502616594641827,0.32830234471138303,True,1.0,0.0,0.0,True
18,cloud000018.pcd,0.11335867059605856,-0.018193496498468943,0.0,-0.01336499715016707,-0.765757929908946,0.32761108819737345,True,1.0,0.0,0.0,True
19,cloud000019.pcd,0.18685538347042707,-0.04106308635348323,0.0,-0.011707635391871316,-0.6707980960322181,0.3289723440050244,True,1.0,0.0,0.0,True
20,cloud000020.pcd,0.2446178924204362,-0.044704910176999915,0.0,-0.018364417847024504,-1.05220363584923,0.3291282445828065,True,1.0,0.0,0.0,True
21,cloud000021.pcd,0.3079260194020507,-0.02257043235357557,0.0,-0.016094835596122115,-0.9221661516147216,0.32689633380374944,True,1.0,0.0,0.0,True
22,cloud000022.pcd,0.4045511141154441,-0.0369197385050748,0.0,-0.020094382421643308,-1.1513233046820321,0.32787413189992964,True,1.0,0.0,0.0,True
23,cloud000023.pcd,0.469236221836973,-0.04427044782684337,0.0,-0.025072427531779764,-1.4365442797185881,0.32808871865050365,True,1.0,0.0,0.0,True
24,cloud000024.pcd,0.5386755630078022,-0.04922213760309646,0.0,-0.023188270596626086,-1.328590039393978,0.32641763188767353,True,1.0,0.0,0.0,True
25,cloud000025.pcd,0.6087596432335153,-0.03737642276545446,0.0,-0.02523335987233025,-1.4457650236192932,0.32827228444681616,True,1.0,0.0,0.0,True
26,cloud000026.pcd,0.689263436193789,-0.0480700639031384,0.0,-0.03669463177865367,-2.1024475317034845,0.32398594491848964,True,1.0,0.0,0.0,True
27,cloud000027.pcd,0.7487437978552184,-0.04819277534948369,0.0,-0.030134571790222622,-1.7265837810137459,0.32599983694465196,True,1.0,0.0,0.0,True
28,cloud000028.pcd,0.8420568783544096,-0.06539554060703962,0.0,-0.024466603755088155,-1.401833134185483,0.3263334919199873,True,1.0,0.0,0.0,True
29,cloud000029.pcd,0.9532036931829223,-0.04498964576914351,0.0,-0.031044128684592037,-1.7786975522881396,0.3268142261965468,True,1.0,0.0,0.0,True
30,cloud000030.pcd,1.0695628049582089,-0.03959430816831544,0.0,-0.029611364101057195,-1.6966061886157742,0.3242873416834461,True,1.0,0.0,0.0,True
31,cloud000031.pcd,1.1667720185953188,-0.046950578095442175,0.0,-0.018681912917538332,-1.0703947634058808,0.3230485483325798,True,1.0,0.0,0.0,True
32,cloud000032.pcd,1.2405773091796044,-0.09709475371892788,0.0,-0.02625147484470712,-1.5040987145955662,0.32295871355025885,True,1.0,0.0,0.0,True
33,cloud000033.pcd,1.3024209378375484,-0.15656597984122403,0.0,-0.03147461191681528,-1.8033624246456819,0.3265921072105387,True,1.0,0.0,0.0,True
34,cloud000034.pcd,1.4154221064221022,-0.1592832768415199,0.0,-0.030781555148717256,-1.763653196870688,0.3279312198888545,True,1.0,0.0,0.0,True
35,cloud000035.pcd,1.5287595896983746,-0.16932721504253329,0.0,-0.03538659030073297,-2.0275022755905736,0.32847732706880095,True,1.0,0.0,0.0,True
36,cloud000036.pcd,1.6685323165252204,-0.17550257604704234,0.0,-0.11044353275338585,-6.3279483012838815,0.3259286832398766,True,1.0,0.0,0.0,True
