scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,0.0015639210644320413,0.01693130298758886,0.0,0.0013784777627647861,0.07898095795905818,0.0,True,0.0,1.0,0.0,True
1,cloud000001.pcd,0.005761149480758374,0.02498650795936974,0.0,-0.0009919883236910855,-0.056836744273756575,0.0,True,0.0,1.0,0.0,True
2,cloud000002.pcd,0.01360592719236531,0.01146384561617687,0.0,-0.004840331809271499,-0.2773305841141786,0.0,True,0.0,1.0,0.0,True
3,cloud000003.pcd,0.0263134075485151,-0.01511361140469069,0.0,-0.009387135515504207,-0.5378432467557533,0.3333333333333333,True,0.0,1.0,0.0,True
4,cloud000004.pcd,0.03601580876520157,-0.03204419653339252,0.0,-0.01103081865400578,-0.6320193534487106,0.3333332295460334,True,0.0,1.0,0.0,True
5,cloud000005.pcd,0.028581799480460697,-0.008328507908663362,0.0,-0.013096186061878833,-0.7503561890637115,0.3333309331614375,True,0.0,1.0,0.0,True
6,cloud000006.pcd,0.03514746503640909,-0.014813599102558452,0.0,-0.010047535146334469,-0.575681358394325,0.33332579969662673,True,0.0,1.0,0.0,True
7,cloud000007.pcd,0.026555786485007695,0.006618315694380879,0.0,-0.0017861090552214805,-0.10233651061428972,0.3333251830020295,True,0.0,1.0,0.0,True
8,cloud000008.pcd,0.016003186523717794,0.019923174114231182,0.0,-0.004916453257039686,-0.2816920218017213,0.3333264505919796,True,0.0,1.0,0.0,True
9,cloud000009.pcd,0.013079846826031397,0.01062989976452544,0.0,-0.007404909467692095,-0.42427006017522206,0.3333276062588319,True,0.0,1.0,0.0,True
10,cloud000010.pcd,0.023757517073108234,0.016493778486635947,0.0,-0.006487731579927743,-0.3717196381436012,0.3333260502042669,True,0.0,1.0,0.0,True
11,cloud000011.pcd,0.016948995142905918,0.029119469386636447,0.0,-0.008417573874382757,-0.48229145674171653,0.3333302064583203,True,0.0,1.0,0.0,True
12,cloud000012.pcd,0.026400695447104494,0.0008098502815362361,0.0,-0.015426555852608607,-0.8838765427773124,0.33332885101735715,True,0.0,1.0,0.0,True
13,cloud000013.pcd,0.052549780484141086,-0.006176581476683963,0.0,-0.012559747716823062,-0.7196205359230333,0.33332433581491544,True,0.0,1.0,0.0,True
14,cloud000014.pcd,0.042737534560018,-0.00950525269105517,0.0,-0.012287791178330013,-0.7040385740563945,0.33332562156109613,True,0.0,1.0,0.0,True
15,cloud000015.pcd,0.042263767669035085,-0.002921757774456654,0.0,-0.00896376801279624,-0.5135860756675935,0.3333196787944029,True,0.0,1.0,0.0,True
16,cloud000016.pcd,0.04055675356730574,0.009937603741741451,0.0,-0.008487994081097022,-0.48632623737888275,0.3333294880083117,True,0.0,1.0,0.0,True
17,cloud000017.pcd,0.050293261719274306,0.0043882815735431565,0.0,-0.009543989747610872,-0.5468303322542307,0.3333295734912194,True,0.0,1.0,0.0,True
18,cloud000018.pcd,0.12162731987537356,-0.007600335379507741,0.0,-0.006414856121564131,-0.3675441819492849,0.33333116565186666,True,0.0,1.0,0.0,True
19,cloud000019.pcd,0.1989193348018453,-0.028943839243695306,0.0,-0.003792815122763476,-0.2173122990077404,0.33332321289219546,True,0.0,1.0,0.0,True
20,cloud000020.pcd,0.2570628916769727,-0.03167487477458183,0.0,-0.010083507265697398,-0.5777424090139618,0.33332942412981265,True,0.0,1.0,0.0,True
21,cloud000021.pcd,0.32018682178110625,-0.009005997902324123,0.0,-0.007769581600243699,-0.4451642342764643,0.3333164656319149,True,0.0,1.0,0.0,True
22,cloud000022.pcd,0.4169175123713081,-0.02260643247369993,0.0,-0.011835680185861517,-0.6781345223164786,0.3333293371985185,True,0.0,1.0,0.0,True
23,cloud000023.pcd,0.48165758952303656,-0.02944001695817638,0.0,-0.016767297393689776,-0.9606953744991292,0.3333186115285452,True,0.0,1.0,0.0,True
24,cloud000024.pcd,0.5511290179646435,-0.03384994909743991,0.0,-0.014854771249039788,-0.8511156982022582,0.3333228928100294,True,0.0,1.0,0.0,True
25,cloud000025.pcd,0.6211185921161272,-0.021389529329596476,0.0,-0.016855352653600823,-0.9657405692559599,0.3333237271229709,True,0.0,1.0,0.0,True
26,cloud000026.pcd,0.7017197998972691,-0.031354170517676416,0.0,-0.0283226648346362,-1.622769159588246,0.3333299850504569,True,0.0,1.0,0.0,True
27,cloud000027.pcd,0.7611965525496827,-0.03099655746799089,0.0,-0.0217485114677496,-1.2460979177939235,0.3333303026856878,True,0.0,1.0,0.0,True
28,cloud000028.pcd,0.8546509365313164,-0.04741504730192775,0.0,-0.016076966112594647,-0.9211423056265191,0.3333285758941901,True,0.0,1.0,0.0,True
29,cloud000029.pcd,0.9656312876215872,-0.02605089769484816,0.0,-0.02261294192546983,-1.2956261347038547,0.33332767023493054,True,0.0,1.0,0.0,True
30,cloud000030.pcd,1.0810126800470008,-0.02000812305628096,0.0,-0.021703774920146128,-1.2435347024262584,0.3333225439106217,True,0.0,1.0,0.0,True
31,cloud000031.pcd,1.1779634113216322,-0.026661746082070774,0.0,-0.010829943004826835,-0.6205100265438066,0.33332724230510186,True,0.0,1.0,0.0,True
32,cloud000032.pcd,1.2521452012692669,-0.07628144282110444,0.0,-0.018436973330832537,-1.0563607588519601,0.33332259624966626,True,0.0,1.0,0.0,True
33,cloud000033.pcd,1.3144429730763476,-0.13528777218583268,0.0,-0.023657995712035647,-1.3555033060382415,0.3333277444239312,True,0.0,1.0,0.0,True
34,cloud000034.pcd,1.4274596560015356,-0.1371466350058967,0.0,-0.02297382602930543,-1.3163032707469955,0.3333309463771251,True,0.0,1.0,0.0,True
35,cloud000035.pcd,1.5408757627046856,-0.14628961913888636,0.0,-0.02756080865374592,-1.5791180158272775,0.3332964486478841,True,0.0,1.0,0.0,True
36,cloud000036.pcd,1.6806817675323527,-0.15144832838173797,0.0,-0.10269042829664962,-5.883728137788827,0.3333232961932943,True,0.0,1.0,0.0,True
37,cloud000037.pcd,1.8200812992995936,-0.17030708570791137,0.0,-0.18552559608055652,-10.629833647064736,0.333308153188321,True,0.0,1.0,0.0,True
38,cloud000038.pcd,1.93079848763439,-0.1802008765102206,0.0,-0.22371784420171517,-12.818088274523575,0.33332686644548587,True,0.0,1.0,0.0,True
39,cloud000039.pcd,2.056565533673696,-0.2205871610239708,0.0,-0.2265033945572507,-12.977688553516925,0.3332965020412814,True,0.0,1.0,0.0,True
40,cloud000040.pcd,2.166494601871981,-0.23361473512242897,0.0,-0.2720076211892799,-15.584888689539001,0.3333239701939001,True,0.0,1.0,0.0,True
41,cloud000041.pcd,2.278418036041295,-0.2947722406047475,0.0,-0.39450832373037925,-22.603661932531512,0.33330897449738867,True,0.0,1.0,0.0,True
42,cloud000042.pcd,2.403238548360685,-0.33910111052148856,0.0,-0.4900571560547096,-28.078206762118818,0.33329717848576534,True,0.0,1.0,0.0,True
43,cloud000043.pcd,2.5042368249532063,-0.39539077575894804,0.0,-0.5517628297216489,-31.613681435245983,0.33330812257067116,True,0.0,1.0,0.0,True
44,cloud000044.pcd,2.598451899079728,-0.4605630003598602,0.0,-0.6537345197961612,-37.4562289063316,0.33329514364687823,True,0.0,1.0,0.0,True
45,cloud000045.pcd,2.7016481900481657,-0.5475679065537263,0.0,-0.7731219840972212,-44.29662673755112,0.3333176403345811,True,0.0,1.0,0.0,True
46,cloud000046.pcd,2.7787684676192557,-0.6269822957987385,0.0,-0.7955498071328271,-45.58164634115763,0.3333218201100396,True,0.0,1.0,0.0,True
47,cloud000047.pcd,2.8709049893423746,-0.6997764765743224,0.0,-0.8682857869676605,-49.74911100444224,0.3332860074961365,True,0.0,1.0,0.0,True
48,cloud000048.pcd,2.9319917193071965,-0.7626908398751058,0.0,-0.9401953411708298,-53.86922496695107,0.33330518255164077,True,0.0,1.0,0.0,True
49,cloud000049.pcd,3.013383293696262,-0.8413316883284006,0.0,-1.0503146850332326,-60.1785986130166,0.33329781619475546,True,0.0,1.0,0.0,True
50,cloud000050.pcd,3.092728935251341,-0.9206877992190842,0.0,-1.1012176209377167,-63.095122005168484,0.3333259775230349,True,0.0,1.0,0.0,True
51,cloud000051.pcd,3.1520250653366055,-1.0452588259974296,0.0,-1.0979975644202833,-62.91062635692595,0.33331547798457767,True,0.0,1.0,0.0,True
52,cloud000052.pcd,3.1959543480467953,-1.1375287814812112,0.0,-1.1041744513845768,-63.26453591050935,0.3333043700307191,True,0.0,1.0,0.0,True
53,cloud000053.pcd,3.2582074300668236,-1.2452318932577477,0.0,-1.1153950626528362,-63.907429579737546,0.33331408147307234,True,0.0,1.0,0.0,True
54,cloud000054.pcd,3.3167235990318096,-1.3423523353392945,0.0,-1.1428875603659718,-65.48263366697329,0.3333136009535223,True,0.0,1.0,0.0,True
55,cloud000055.pcd,3.3536617913471596,-1.421069364217995,0.0,-1.1760312050921136,-67.38162462746223,0.3333290890386827,True,0.0,1.0,0.0,True
56,cloud000056.pcd,3.3930631779620235,-1.546646883190968,0.0,-1.1818539255893084,-67.71524193723582,0.3333269878476767,True,0.0,1.0,0.0,True
57,cloud000057.pcd,3.442551598904447,-1.660586996175105,0.0,-1.1914718764920509,-68.266309931527,0.33331928110896375,True,0.0,1.0,0.0,True
58,cloud000058.pcd,3.4957710122955974,-1.8049273595023907,0.0,-1.1973367934656918,-68.60234492131126,0.33332474378227356,True,0.0,1.0,0.0,True
59,cloud000059.pcd,3.5430061871409295,-1.903731304660179,0.0,-1.1915730511109492,-68.27210681018371,0.3333277480261912,True,0.0,1.0,0.0,True
60,cloud000060.pcd,3.588592079936488,-2.028612663770851,0.0,-1.197622169380336,-68.61869575679506,0.33332525504472027,True,0.0,1.0,0.0,True
61,cloud000061.pcd,3.6526371020991673,-2.1512664692815573,0.0,-1.1979828651296285,-68.63936210091784,0.33332540354254325,True,0.0,1.0,0.0,True
62,cloud000062.pcd,3.714414753071958,-2.292234621954191,0.0,-1.2107211240918616,-69.36921057779848,0.3333239784640241,True,0.0,1.0,0.0,True
63,cloud000063.pcd,3.7353927232512953,-2.391682655631298,0.0,-1.2121091700855748,-69.44873975500829,0.33333150942853973,True,0.0,1.0,0.0,True
64,cloud000064.pcd,3.7827571176057226,-2.492973738105026,0.0,-1.2134574344121507,-69.52598961058914,0.3333193215546773,True,0.0,1.0,0.0,True
65,cloud000065.pcd,3.8286706386081306,-2.5988775360604506,0.0,-1.2220037795067107,-70.01565911476976,0.3333232445874274,True,0.0,1.0,0.0,True
66,cloud000066.pcd,3.8662731195860514,-2.7069125162923062,0.0,-1.2226537610291395,-70.05290031276643,0.33332100377491347,True,0.0,1.0,0.0,True
67,cloud000067.pcd,3.92538569577601,-2.81848629064052,0.0,-1.2204016075045299,-69.92386142099078,0.3333302138388891,True,0.0,1.0,0.0,True
