scan_index,scan_file,x,y,z,yaw_rad,yaw_deg,prediction_confidence,z_redistributed,feature_w,geometric_w,temporal_w,adaptation_frozen
0,cloud000000.pcd,-0.010311869891064581,0.0016690501737451264,0.0,-0.0018021343061414125,-0.10325468985763997,0.0,True,0.0,0.0,1.0,True
1,cloud000001.pcd,-0.016213010235391942,-0.003973592305578805,0.0,-0.0017187488929555712,-0.09847705760913673,0.0,True,0.0,0.0,1.0,True
2,cloud000002.pcd,-0.005049253631786859,-0.00044673614552082075,0.0,0.002052176438803836,0.11758104875964706,0.2,True,0.0,0.0,1.0,True
3,cloud000003.pcd,-0.004377566539875144,-0.00045202667753639397,0.0,0.0006180117041597359,0.03540946233804049,0.13333333333333333,True,0.0,0.0,1.0,True
4,cloud000004.pcd,0.0004073604017930648,0.0009247557208386426,0.0,0.0016323151346857737,0.09352476805282336,0.13333333333333333,True,0.0,0.0,1.0,True
5,cloud000005.pcd,0.004758541173738944,-0.003393009686476511,0.0,0.0005714055726097304,0.032739127700793666,0.13333333333333333,True,0.0,0.0,1.0,True
6,cloud000006.pcd,0.010363575767247099,-0.01012356235257381,0.0,0.0009029719538954367,0.05173648197689008,0.13333333333333333,True,0.0,0.0,1.0,True
7,cloud000007.pcd,0.015695419882364916,0.00023013631244572265,0.0,0.026290197720138447,1.506317371928392,0.13333333333333333,True,0.0,0.0,1.0,True
8,cloud000008.pcd,0.000350022951494439,0.015764872110995483,0.0,0.14852682564630915,8.50996025400895,0.13333333333333333,True,0.0,0.0,1.0,True
9,cloud000009.pcd,-0.00701965499448073,0.01557233294864602,0.0,0.28833395077723,16.5203184698681,0.13333333333333333,True,0.0,0.0,1.0,True
10,cloud000010.pcd,-0.03047863693940465,0.049210304450510056,0.0,0.4229354276083899,24.2324150085215,0.13333333333333333,True,0.0,0.0,1.0,True
11,cloud000011.pcd,-0.00026814372616028315,0.04742398158723113,0.0,0.5549961174476451,31.798935175897014,0.13333333333333333,True,0.0,0.0,1.0,True
12,cloud000012.pcd,0.10042832379130598,0.09825626489730724,0.0,0.5741393632514001,32.895762366633704,0.13333333333333333,True,0.0,0.0,1.0,True
13,cloud000013.pcd,0.22165895088580595,0.15202062073719236,0.0,0.5710348016814978,32.717884091439785,0.13333333333333333,True,0.0,0.0,1.0,True
14,cloud000014.pcd,0.3272392367279261,0.21984121393647887,0.0,0.5689458547069628,32.598196246172314,0.13333333333333333,True,0.0,0.0,1.0,True
15,cloud000015.pcd,0.42887048659074006,0.28543099632265345,0.0,0.5709565991489782,32.71340341637918,0.13333333333333333,True,0.0,0.0,1.0,True
16,cloud000016.pcd,0.547607327280471,0.3456884428806124,0.0,0.5670438409438502,32.489218884970164,0.13333333333333333,True,0.0,0.0,1.0,True
17,cloud000017.pcd,0.655405664773678,0.4068840867731034,0.0,0.5659486323306542,32.426468053747655,0.13333333333333333,True,0.0,0.0,1.0,True
18,cloud000018.pcd,0.7752842249423467,0.4652452894885609,0.0,0.5672444078282669,32.50071052095733,0.13333333333333333,True,0.0,0.0,1.0,True
19,cloud000019.pcd,0.8644059163826489,0.5343805763323218,0.0,0.5626759679594425,32.23895819751439,0.13333333333333333,True,0.0,0.0,1.0,True
20,cloud000020.pcd,0.998627892385751,0.5783360581598573,0.0,0.5657142975679363,32.41304166085072,0.13333333333333333,True,0.0,0.0,1.0,True
21,cloud000021.pcd,1.1085171862363838,0.6443519403274317,0.0,0.5619190594602331,32.19559053503211,0.13333333333333333,True,0.0,0.0,1.0,True
22,cloud000022.pcd,1.2212222517758315,0.6975738471586336,0.0,0.5608645611629903,32.13517223309637,0.13333333333333333,True,0.0,0.0,1.0,True
23,cloud000023.pcd,1.3285159797980035,0.760172204953873,0.0,0.5611559013789466,32.15186479787309,0.13333333333333333,True,0.0,0.0,1.0,True
24,cloud000024.pcd,1.436214883379467,0.8195881319209964,0.0,0.5589975919426368,32.02820277628928,0.13333333333333333,True,0.0,0.0,1.0,True
25,cloud000025.pcd,1.5506123561601028,0.8682435925271181,0.0,0.561190568752871,32.15385109208576,0.13333333333333333,True,0.0,0.0,1.0,True
26,cloud000026.pcd,1.6611333633860297,0.9285085342821092,0.0,0.5593991338066877,32.051209430397215,0.13333333333333333,True,0.0,0.0,1.0,True
27,cloud000027.pcd,1.7752138723685995,0.981147301851242,0.0,0.5591791319773946,32.038604254093556,0.13333333333333333,True,0.0,0.0,1.0,True
28,cloud000028.pcd,1.882447614441243,1.0424443974951445,0.0,0.5578748903711169,31.963876714588487,0.13333333333333333,True,0.0,0.0,1.0,True
29,cloud000029.pcd,1.9885951515545435,1.1050424893208355,0.0,0.5582154937705074,31.98339185186137,0.13333333333333333,True,0.0,0.0,1.0,True
30,cloud000030.pcd,2.106486038593642,1.1613331272069047,0.0,0.5557288607278893,31.840918273321577,0.13333333333333333,True,0.0,0.0,1.0,True
31,cloud000031.pcd,2.209029014150718,1.2223049187654145,0.0,0.5540452469474867,31.744454309374444,0.13333333333333333,True,0.0,0.0,1.0,True
32,cloud000032.pcd,2.3226581316593116,1.285944273746877,0.0,0.5569145855971437,31.90885530399356,0.13333333333333333,True,0.0,0.0,1.0,True
