area,variant,rmse_xy_gt_to_est,rmse_xy_est_to_gt,rmse_xy_chamfer,rmse_xyz_gt_to_est,rmse_xyz_est_to_gt,rmse_xyz_chamfer,n_xy_gt,n_xy_est,n_xyz_gt,n_xyz_est
BA5,feature_only,0.16803004273068023,0.14269161357797522,0.15536082815432772,0.5847248120237116,0.48132319448705524,0.5330240032553835,1460,250,1460,250
BA5,geometric_only,0.1755337915312826,0.1434015575949505,0.15946767456311656,0.5869251421650281,0.4805347019118991,0.5337299220384636,1460,250,1460,250
BA5,temporal_only,0.17773526291080335,0.14059797653559647,0.1591666197231999,0.5875872992314104,0.4774277616678468,0.5325075304496286,1460,250,1460,250
BA6,feature_only,0.1268585867288702,0.14429918784686394,0.13557888728786707,0.3430146142559765,0.36963725998056596,0.3563259371182712,1200,250,1200,250
BA6,geometric_only,0.11108105230229309,0.13237001675882074,0.12172553453055691,0.33749803665638545,0.3656563897887475,0.35157721322256646,1200,250,1200,250
BA6,temporal_only,0.13309457941643105,0.15137101640964057,0.1422327979130358,0.3453695001536279,0.37263332118768555,0.3590014106706567,1200,250,1200,250
BA80a,feature_only,0.2154394314639078,0.1729433442152628,0.19419138783958528,0.25885641918728175,0.2417164735394888,0.25028644636338526,1009,250,1009,250
BA80a,geometric_only,0.2682785085841749,0.26712806636226305,0.267703287473219,0.30424637268687216,0.3166298744828062,0.3104381235848392,1009,250,1009,250
BA80a,temporal_only,0.18161348522992904,0.1178059935887147,0.14970973940932186,0.23146480324734375,0.20573800322948535,0.21860140323841454,1009,250,1009,250
BA80b,feature_only,0.11938411754591814,0.12221192395280986,0.120798020749364,0.12626613674734502,0.12877839368712973,0.12752226521723736,601,120,601,120
BA80b,geometric_only,0.39149458522952907,0.23951837383070504,0.31550647953011707,0.3936477867725444,0.2431639138307837,0.3184058503016641,601,120,601,120
BA80b,temporal_only,0.19497594835598855,0.2029967005931619,0.19898632447457523,0.19926412171838348,0.20713807994457867,0.20320110083148107,601,120,601,120
Charm,feature_only,0.7436251102910506,0.7570869233864431,0.7503560168387469,0.7569960176311084,0.7703335396913374,0.763664778661223,630,140,630,140
Charm,geometric_only,0.6828501420356581,0.6946791468286753,0.6887646444321667,0.6973872543516252,0.7090999713195446,0.7032436128355849,630,140,630,140
Charm,temporal_only,0.7644222406949808,0.7778432066707336,0.7711327236828571,0.7774355459606379,0.7907983383305515,0.7841169421455947,630,140,630,140
Dumpareaa,feature_only,0.06828929133199516,0.035870539203634026,0.052079915267814594,0.07472800951620769,0.04487212394389651,0.0598000667300521,273,51,273,51
Dumpareaa,geometric_only,0.06953717701458383,0.03722139484775232,0.05337928593116807,0.07587006710677066,0.045844436550616666,0.06085725182869366,273,51,273,51
Dumpareaa,temporal_only,0.06936787921581124,0.03667911201978022,0.05302349561779573,0.07571493090882203,0.04557317942807334,0.06064405516844769,273,51,273,51
